TIMEID,DAY,MONTH,QUARTER,YEAR
20240101,1,1,1,2024
20240102,2,1,1,2024
20240103,3,1,1,2024
20240104,4,1,1,2024
20240105,5,1,1,2024
20240106,6,1,1,2024
20240107,7,1,1,2024
20240108,8,1,1,2024
20240109,9,1,1,2024
20240110,10,1,1,2024
20240111,11,1,1,2024
20240112,12,1,1,2024
20240113,13,1,1,2024
20240114,14,1,1,2024
20240115,15,1,1,2024
20240116,16,1,1,2024
20240117,17,1,1,2024
20240118,18,1,1,2024
20240119,19,1,1,2024
20240120,20,1,1,2024
20240121,21,1,1,2024
20240122,22,1,1,2024
20240123,23,1,1,2024
20240124,24,1,1,2024
20240125,25,1,1,2024
20240126,26,1,1,2024
20240127,27,1,1,2024
20240128,28,1,1,2024
20240129,29,1,1,2024
20240130,30,1,1,2024
20240131,31,1,1,2024
20240201,1,2,1,2024
20240202,2,2,1,2024
20240203,3,2,1,2024
20240204,4,2,1,2024
20240205,5,2,1,2024
20240206,6,2,1,2024
20240207,7,2,1,2024
20240208,8,2,1,2024
20240209,9,2,1,2024
20240210,10,2,1,2024
20240211,11,2,1,2024
20240212,12,2,1,2024
20240213,13,2,1,2024
20240214,14,2,1,2024
20240215,15,2,1,2024
20240216,16,2,1,2024
20240217,17,2,1,2024
20240218,18,2,1,2024
20240219,19,2,1,2024
20240220,20,2,1,2024
20240221,21,2,1,2024
20240222,22,2,1,2024
20240223,23,2,1,2024
20240224,24,2,1,2024
20240225,25,2,1,2024
20240226,26,2,1,2024
20240227,27,2,1,2024
20240228,28,2,1,2024
20240229,29,2,1,2024
20240301,1,3,1,2024
20240302,2,3,1,2024
20240303,3,3,1,2024
20240304,4,3,1,2024
20240305,5,3,1,2024
20240306,6,3,1,2024
20240307,7,3,1,2024
20240308,8,3,1,2024
20240309,9,3,1,2024
20240310,10,3,1,2024
20240311,11,3,1,2024
20240312,12,3,1,2024
20240313,13,3,1,2024
20240314,14,3,1,2024
20240315,15,3,1,2024
20240316,16,3,1,2024
20240317,17,3,1,2024
20240318,18,3,1,2024
20240319,19,3,1,2024
20240320,20,3,1,2024
20240321,21,3,1,2024
20240322,22,3,1,2024
20240323,23,3,1,2024
20240324,24,3,1,2024
20240325,25,3,1,2024
20240326,26,3,1,2024
20240327,27,3,1,2024
20240328,28,3,1,2024
20240329,29,3,1,2024
20240330,30,3,1,2024
20240331,31,3,1,2024